"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 00:32:47 IST 2024","Wed Jun 05 00:32:53 IST 2024","5741","","Validate login functionality of application: Verify login functionality of application","","","","When I type valid ""alice@example.com"" and ""10203040""",""
"passed","Wed Jun 05 00:33:32 IST 2024","Wed Jun 05 00:33:34 IST 2024","1599","","Validate login functionality of application: Verify login functionality of application","","","","Then Application should recirect to login page",""
"passed","Wed Jun 05 00:33:04 IST 2024","Wed Jun 05 00:33:10 IST 2024","5975","","Validate login functionality of application: Verify login functionality of application","","","","When I type valid ""1@2.com"" and ""f-o-o""",""
"passed","Wed Jun 05 00:33:34 IST 2024","Wed Jun 05 00:33:34 IST 2024","197","","Validate login functionality of application: Verify login functionality of application","","","","And Password field should be visible",""
"passed","Wed Jun 05 00:33:21 IST 2024","Wed Jun 05 00:33:26 IST 2024","4974","","Validate login functionality of application: Verify login functionality of application","","","","When I type valid """" and """"",""
"passed","Wed Jun 05 00:33:30 IST 2024","Wed Jun 05 00:33:30 IST 2024","396","","Validate login functionality of application: Verify login functionality of application","","","","Given I am on the home page",""
"passed","Wed Jun 05 00:32:00 IST 2024","Wed Jun 05 00:32:05 IST 2024","5420","","Validate login functionality of application: Verify login functionality of application","","","","When I type valid ""bob@example.com"" and ""10203040""",""
"passed","Wed Jun 05 00:32:08 IST 2024","Wed Jun 05 00:32:38 IST 2024","29846","","Validate login functionality of application: Verify login functionality of application","","","","Then I verify successful login",""
"passed","Wed Jun 05 00:33:34 IST 2024","Wed Jun 05 00:33:34 IST 2024","259","","Validate login functionality of application: Verify login functionality of application","","","","And Login button should be visible",""
"passed","Wed Jun 05 00:33:35 IST 2024","Wed Jun 05 00:33:39 IST 2024","4734","","Validate login functionality of application: Verify login functionality of application","","","","When I type valid ""bob@example.com"" and """"",""
"passed","Wed Jun 05 00:33:13 IST 2024","Wed Jun 05 00:33:14 IST 2024","1380","","Validate login functionality of application: Verify login functionality of application","","","","Then I validate the erorr message is visible",""
"passed","Wed Jun 05 00:33:39 IST 2024","Wed Jun 05 00:33:42 IST 2024","3168","","Validate login functionality of application: Verify login functionality of application","","","","And I click on Login button",""
"passed","Wed Jun 05 00:33:28 IST 2024","Wed Jun 05 00:33:29 IST 2024","1133","","Validate login functionality of application: Verify login functionality of application","","","","Then I validate the username error message is visible",""
"passed","Wed Jun 05 00:33:30 IST 2024","Wed Jun 05 00:33:30 IST 2024","443","","Validate login functionality of application: Verify login functionality of application","","","","When I click on open menu icon",""
"passed","Wed Jun 05 00:33:34 IST 2024","Wed Jun 05 00:33:34 IST 2024","194","","Validate login functionality of application: Verify login functionality of application","","","","And username field should be visible",""
"failed","Wed Jun 05 00:33:44 IST 2024","Wed Jun 05 00:33:44 IST 2024","2","","","","","","hook:",""
"passed","Wed Jun 05 00:33:42 IST 2024","Wed Jun 05 00:33:44 IST 2024","1157","","Validate login functionality of application: Verify login functionality of application","","","","Then I validate the password error message is visible",""
"passed","Wed Jun 05 00:33:30 IST 2024","Wed Jun 05 00:33:32 IST 2024","1870","","Validate login functionality of application: Verify login functionality of application","","","","And I click on login button",""
